document,source
5854901,http://www.emis.de/journals/EJDE/Volumes/2011/08/ramzi.pdf
5854897,http://www.emis.de/journals/EJDE/Volumes/2011/04/satsanit.pdf
5973691,http://www.emis.de/journals/EJDE/2011/118/benmansour.pdf
5956885,http://www.emis.de/journals/EJDE/2011/78/luca.pdf
5854899,http://www.emis.de/journals/EJDE/Volumes/2011/06/chen.pdf
5956906,http://www.emis.de/journals/EJDE/2011/99/rebiai.pdf
1125933,http://www.emis.de/journals/EJDE/Volumes/1997/07/Chen.pdf
1125934,http://www.emis.de/journals/EJDE/Volumes/1997/08/Grossinho.pdf
5895761,http://www.emis.de/journals/EJDE/Volumes/2011/55/webb.pdf
6028634,http://www.emis.de/journals/EJDE/2011/166/elsayed.pdf
5956903,http://www.emis.de/journals/EJDE/2011/96/lu.pdf
5956909,http://www.emis.de/journals/EJDE/2011/102/anand.pdf
5880326,http://www.emis.de/journals/EJDE/Volumes/2011/32/djebali.pdf
5880338,http://www.emis.de/journals/EJDE/Volumes/2011/44/hajba.pdf
5854903,http://www.emis.de/journals/EJDE/Volumes/2011/10/rabier.pdf
5895766,http://www.emis.de/journals/EJDE/Volumes/2011/60/bahrami.pdf
5956871,http://www.emis.de/journals/EJDE/2011/64/anoop.pdf
5956874,http://www.emis.de/journals/EJDE/2011/67/sato.pdf
5956890,http://www.emis.de/journals/EJDE/2011/83/zhang.pdf
5956919,http://www.emis.de/journals/EJDE/2011/112/bliss.pdf
5973687,http://www.emis.de/journals/EJDE/2011/114/sviridov.pdf
5973689,http://www.emis.de/journals/EJDE/2011/116/karlsen.pdf
6028636,http://www.emis.de/journals/EJDE/2011/168/tarama.pdf
5956876,http://www.emis.de/journals/EJDE/2011/69/littlejohn.pdf
5956918,http://www.emis.de/journals/EJDE/2011/111/seifert.pdf
5895760,http://www.emis.de/journals/EJDE/Volumes/2011/54/bouchekif.pdf
5956907,http://www.emis.de/journals/EJDE/2011/100/pang.pdf
5880337,http://www.emis.de/journals/EJDE/Volumes/2011/43/zhao.pdf
5854922,http://www.emis.de/journals/EJDE/Volumes/2011/29/vesely.pdf
5895767,http://www.emis.de/journals/EJDE/Volumes/2011/61/robinson.pdf
5956902,http://www.emis.de/journals/EJDE/2011/95/kandilakis.pdf
5973723,http://www.emis.de/journals/EJDE/2011/150/abbas.pdf
5956900,http://www.emis.de/journals/EJDE/2011/93/kafini.pdf
5956889,http://www.emis.de/journals/EJDE/2011/82/leadi.pdf
5854898,http://www.emis.de/journals/EJDE/Volumes/2011/05/ceballos.pdf
5854900,http://www.emis.de/journals/EJDE/Volumes/2011/07/berdyshev.pdf
1125940,http://www.emis.de/journals/EJDE/Volumes/1997/14/Travers.pdf
5956913,http://www.emis.de/journals/EJDE/2011/106/zhang.pdf
5956917,http://www.emis.de/journals/EJDE/2011/110/halidias.pdf
5973688,http://www.emis.de/journals/EJDE/2011/115/meirmanov.pdf
5973709,http://www.emis.de/journals/EJDE/2011/136/cunha.pdf
5956914,http://www.emis.de/journals/EJDE/2011/107/chauhan.pdf
5973703,http://www.emis.de/journals/EJDE/2011/130/iyase.pdf
5973702,http://www.emis.de/journals/EJDE/2011/129/le.pdf
5973694,http://www.emis.de/journals/EJDE/2011/121/behloul.pdf
5973714,http://www.emis.de/journals/EJDE/2011/141/wang.pdf
5973717,http://www.emis.de/journals/EJDE/2011/144/nyamoradi.pdf
5973690,http://www.emis.de/journals/EJDE/2011/117/dimbour.pdf
5973697,http://www.emis.de/journals/EJDE/2011/124/laura.pdf
5973715,http://www.emis.de/journals/EJDE/2011/142/adams.pdf
5973716,http://www.emis.de/journals/EJDE/2011/143/baculikova.pdf
5973701,http://www.emis.de/journals/EJDE/2011/128/ardjouni.pdf
5973718,http://www.emis.de/journals/EJDE/2011/145/monteiro.pdf
5956887,http://www.emis.de/journals/EJDE/2011/80/gavruta.pdf
5956892,http://www.emis.de/journals/EJDE/2011/85/chen.pdf
5956904,http://www.emis.de/journals/EJDE/2011/97/guo.pdf
5956910,http://www.emis.de/journals/EJDE/2011/103/zhou.pdf
5956884,http://www.emis.de/journals/EJDE/2011/77/carbone.pdf
5973700,http://www.emis.de/journals/EJDE/2011/127/charao.pdf
5956877,http://www.emis.de/journals/EJDE/2011/70/melo.pdf
5956888,http://www.emis.de/journals/EJDE/2011/81/turki.pdf
5956880,http://www.emis.de/journals/EJDE/2011/73/qi.pdf
5956883,http://www.emis.de/journals/EJDE/2011/76/deguchi.pdf
6028623,http://www.emis.de/journals/EJDE/2011/155/imran.pdf
6028627,http://www.emis.de/journals/EJDE/2011/159/gonzalez.pdf
5956878,http://www.emis.de/journals/EJDE/2011/71/ait.pdf
5956872,http://www.emis.de/journals/EJDE/2011/65/kadowaki.pdf
5956895,http://www.emis.de/journals/EJDE/2011/88/chemmam.pdf
5854902,http://www.emis.de/journals/EJDE/Volumes/2011/09/abbas.pdf
5973708,http://www.emis.de/journals/EJDE/2011/135/morris.pdf
5854904,http://www.emis.de/journals/EJDE/Volumes/2011/11/yang.pdf
